author,party,date,text,topic_tags,sentiment_tags
משה יעלון,כחול לבן,"17 בינואר 2019, 15:59","['מייד אחרי אישורו של חוק ה לאום הבטחתי ש אעשה הכל למען תיקון ה עוול ש נגרם ל ה דרוזים ו ליתר בני ה מיעוטים ה חיים כאן ב שותפות את אנחנו', 'ו ל שילובו ב ה חוק של ערך ה שוויון ב רוח מגילת ה עצמאות', 'חזרתי על הבטחתי זו גם ה יום ב פגישתי ב חיפה עם צוות ה קצינים ה דרוזי ה מוביל את ה מאבק ל תיקון ה חוק', 'לחמתי עם אחיי ה דרוזים כתף אל כתף ל אורך שנים ו גם פקדתי עליהם', 'ו למדתי להכיר מקרוב את תרומתם של בני ה עדה ל ה מדינה', 'בין מדינת ישראל ו ה עם ה יהודי לבין ה עדה ה דרוזית יש ברית ש אינה ניתנת ל ניתוק או ל ערעור', 'חובת כולנו לחזק את ה ברית ה זאת אף יותר', 'אני גאה לחלוק עמדה זו עם עשרות קצינים בכירים ב ה מילואים ו עם רוב רובו של ה ציבור ה ישראלי', 'ש הביע תמיכה חד משמעית ב ה אחינו ה דרוזים', 'אחריות פירושה גם ל דעת לתקן', 'לצד אני ב ה סרטון', 'תאל ב מיל אמל אסעד', 'אורן ביטון מועמד ב מפלגת תלם ו אלמ ב ה מיל מופיד מ רעי ראש ראשי ה רשויות ה דרוזיות ו ה צרקסיות ו ראש מועצת חורפיש לשעבר כולם לוחמים ו מפקדים ב צהל ש אני גאה לקרוא ל הם אחים']","[3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, -1, -1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
חמד עמאר,ישראל ביתנו,"17 בינואר 2019, 08:37","['אחיי ו אחיותייהיום ב שיחת פאנל ב בית ה ספר ב נהלל בפני כיתות יב', 'על ה חברה ה ישראלית', 'חוק ה לאום', 'חינוך ו תעסוקה']","[0, 0, 3, 0]","[2, 2, 0, 2]"
עמר בר-לב,העבודה,"14 בינואר 2019, 17:15","['חוק ה לאום הוא לא רק ירייה ב גב אחינו ה דרוזים', 'אלא ירייה ב גב ה חברה ה ישראלית כולה', 'כש חוקקו את חוק ה לאום כ רשימת מכולת של ה מובן מאל הוא', 'אבל ב ה טעות שכחו את ה מילים שוויון ו דמוקרטיה ה משמעות היא ש העלימו את ערכי מגילת ה עצמאות ב ה רוח נבאי ישראל', 'את זכויות ה מיעוטים ו את ה שוויון בפני ה חוק', 'ל ה כן', 'כש מדובר ב חוק ה לאום ה נוכחי', 'מדובר למעשה ב תפיסת עולם לאומנית כוללת', 'כ ה זו ה מפרידה ו מדרגת את ה חברה עפ קבוצות שייכות', 'ב מקרה זה נשמע בעיקר קולם של ה דרוזים ה מוחאים על ה אפליה', 'אבל כולנו סובלים מן הוא', 'כ ה חברה', 'ו זה ממש לא פאנצר מקרי ב ה חקיקה ש יש לתקן', 'זה הרבה יותר', 'את ה כיוון ה זה בדיוק עלינו לשנות', 'אז מי ש מתנגד ל תפיסה לאומנית ו מפלה זו', 'צריך להודיע ב אופן ברור ש לא יחבור ל כל ראש ממשלה ה דוגל ב היא']","[3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 0, 3, 3, 0, 3, 2]","[-1, -1, -1, -1, -1, 2, -1, -1, -1, -1, -1, 2, -1, -1, 2, -1, -1]"
אילן גילאון,מרצ,"14 בינואר 2019, 17:14","['את חוק ה לאום לא צריך לתקן', 'צריך לבטל', 'היום ה מערכת ה פוליטית געשה ו סערה בגלל התבטאות של ה מועמד ה שקט כנגד חוק ה לאום ב מתכונתו ה נוכחית', 'חוק ה לאום הוא חוק גזעני', 'מפלה ו מיותר', 'ש כל מטרתו להמשיך את מדיניות ההפרד ו מ שול של נתניהו', 'כנראה גדול ה מרעילים של ה שיח ה ציבורי ו ה פוליטי ב ישראל מ אז ש הוקמה', 'ו ה פחד של חלק נרחב מ חבריי ל ה מחנה להגיד ש יש ל ה בטלו', 'מראה עד כמה ה רעל ה זה חלחל ו השפיע', 'ל לאום של אני אין שום צורך ב ה חוק', 'הוא לא צריך ש יגדירו את הוא באמצעות סעיפים ו תקנונים', 'ה לאום של אני הוא אנשים ש רוצים להרבות ש מחה ו להמעיט כ אב', 'אנשים הוגנים', 'ה גונים', 'ש רוצים לחיות כאן מבלי לדרוך על אחרים', 'אבל ה חוק ה זה', 'הוא עוד אחד מ רשימת ה חוקים ש פשוט מונעת מהם לממש את עצמם', 'מדינת ישראל הוקמה על בסיס עקרונות ה ציונות', 'על בסיס עקרונות מגילת ה עצמאות', 'הצהרה היסטורית ש ביקשה ל בנות מדינה', 'לא לפרק את היא', 'ה חוק ה זה עושה ב דיוק ה הפך', 'הוא מפרק את ישראל מ אבני ה יסוד על בסיסם היא הוקמה', 'הוא מפריד', 'מסית ו משסה', 'זו ה ממשלה ה ראשונה ב ה היסטוריה של מדינת ישראל מ אז ש הוקמה', 'ש היא אינה ציונית', 'אין שום צורך לתקן את אחד ה חוקים הכי לא ציוניים ש אי פעם חוקקו פה', 'יש פשוט צורך לבטל את הוא']","[3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 0, 0, 0, 3, 3, 0, 0, 0, 0, 3, 3, 3, 3, 0, 0, 3, 3]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, 2, 2, 0, -1, 2, 2, 2, 2, -1, -1, -1, -1, 2, 2, -1, -1]"
גדעון סער,הליכוד,"14 בינואר 2019, 11:11","['אם ה משפט ה ראשון ש אומר בני גנץ הוא נגד ה הישג הכי חשוב של ה מחנה ה לאומי ב כ נסת ה יוצאת זה ממקם את הוא ב דיוק מוחלט', 'מול הוא', 'אני מכבד את עברו ה צבאי של גנץ ו קצת פחות מתרשם מ הבנתו ב משפט חוקתי', 'אין כל סיבה ל ה תקן או לשנות את חוק ה לאום']","[0, 0, 0, 3]","[2, 2, 2, 1]"
יריב לוין,הליכוד,"14 בינואר 2019, 10:41","['יצא ה מרצע מן ה שק ו נחשף ה מרצ ה אמיתי של מועמד ה שמאל בני גנץ', 'חוק ה לאום ש העבירה ממשלת ה ליכוד מעגן את ה בסיס ה ציוני של מדינת ישראל ו כל פגיעה ב הוא פירושה פגיעה ב ה התיישבות ה יהודית ו ב ה זהות ה יהודית', 'נמשיך להגן על זהותה של ה מדינה ו למנוע כל ניסיון לפגוע ב ה חוק ה לאום']","[0, 3, 3]","[2, 1, 1]"
אילן גילאון,מרצ,"9 בינואר 2019, 17:24","['ממשלת ה מאבק ב ה אזרח', 'ב ה שנים ה אחרונות היינו עדים ל עשרות מאבקים ב רחובות ה נכים', 'ה עוסים', 'תושבי ה דרום', 'ה להטבים', 'ה מפגינים נגד יוקר ה מחייה', 'נגד ה אלימות ה מגדרית', 'נגד ה כיבוש', 'ה גמלאים', 'חוק ה לאום', 'ו אלו רק חלק מ ה מאבקים ה חשובים ש היו', 'ה מאבקים הללו כולם', 'על אף ה שוני בין הם', 'הראו דבר אחד ה ממשלה ה זו נאבקת ב אזרחיה', 'היא נאבקת ב זכותם ל ה שוויון', 'היא נאבקתם ב זכותם ל ה בטחון', 'היא נאבקתם ב זכותם ל ה שכר ו תנאי ה עסקה ראויים', 'היא נאבקת ב זכותם לחיות את חייהם ב ה כבוד', 'לא ל מאבק ה אדם נולד', 'ה אדם נולד על מנת להרבות שמחה ו להמעיט כאב', 'תפקידה של ממשלה', 'הוא לדאוג ל כך ש כל אדם יוכל לממש את מלוא ה פוטנציאל של הוא', 'ו לדאוג ל כך ש כל אחד ו אחת יגיעו ל מחוז חפצם ב ה כבוד', 'כי ב סופו של דבר', 'בשביל מה היא קיימת אם לא לשם כך', 'מ משלה ש אינה דואגת ל זכויות ה בסיסיות ביותר של אזרחיה אינה ראויה לשרת את הם', 'ה בחירות ה קרובות הן ה הזדמנות ש ל אנחנו להחליף את ממשלת ה מאבק ב ה אזרח ו להקים מ משלה ש משרתת את הוא מ משלה ש שמה את ה אדם ב ה מרכז', 'רואה ב הוא תכלית ה כל', 'ו פועלת ב הגינות ו ב ה סולידריות מתוך ה הבנה ש ה אנשים תחילה', 'קרדיט צילום', 'תומר נויברגפלאש 90']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 0, -1, -1, 0, -1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
יולי - יואל אדלשטיין,הליכוד,"6 בינואר 2019, 19:28","['אמרתי הערב ב ה ערוץ 20 כי דינן ה טבעי של ה עתירות נגד חוק ה לאום להדחות על ה סף', 'אם ב ה גצ יתערב ב ה חוק יסוד ש הכנסת חוקקה', 'ו אני אישית ערב ל כך ש חוקקה ב ה יסודיות', 'זה יהיה משבר קונסטיטוציוני ש ה מדינה לא ראתה כמו הוא', 'הכנסת בראשותי לא תשחק את ה משחק ה זה', 'אין שום אפשרות ש ב ה גץ יפסול חוק יסוד', 'צפו ב ה ראיון']","[3, 3, 3, 3, 3, 3, 0]","[1, 1, 1, 0, 0, 1, 2]"
איימן עודה,"חד""ש-תע""ל","23 בדצמבר 2018, 09:09","['עכשיו סיימתי שיחה עם תלמידי תיכון בליך ב רמת גן על חוק ה לאום', 'לצד ה מאבק של אנחנו ב חוק ה דיאלוג גם הכרחי הוא מאפשר ל הנכיח את ה התנגדות ו גם מעמת את מתנגדי ה שוויון', 'ל ה אורך זמן', 'זו השפעה חשובה', 'ה דיאלוג עם ה קהל ה יהודי חשוב', 'בעיקר משום ש אני מאמין ב ה צדקת דרך אנחנו', 'אני מוכן', 'ב ביטחון מלא', 'ל כל דיאלוג עם ה חברה ה יהודית']","[3, 3, 0, 0, 0, 0, 0, 0, 0]","[0, -1, 2, 2, 2, 2, 2, 2, 2]"
חמד עמאר,ישראל ביתנו,"19 בדצמבר 2018, 08:44","['בוקר טוב', 'היום אני מעלה ל קריאה טרומית הצעת חוק ל תיקון חוק ה לאום ה פוגעני ו הלא שוויוני', 'אני קורא ל כל חברי הכנסת גם מהקואלציה ו גם מ ה אופוזיציה להצביע בעד ה תיקון ה זה ללא כל דיחוי', 'אעדכן ב ה המשךחמד עמאר']","[0, 3, 3, 0]","[2, -1, -1, 2]"
גדעון סער,הליכוד,"17 בדצמבר 2018, 08:08","['שידור חי', 'דברי ב כנס ה מרכז ה בינתחומי בהרצליה ב נושא חוק ה לאום']","[0, 3]","[2, 0]"
מיכל רוזין,מרצ,"29 בנובמבר 2018, 13:32","['זה לא צביון יהודי זה צביון לאומני', 'חזרנו ו הזהרנו שוב ו שוב שחוק ה לאום הוא חוק ה לאומנות ו ה הוכחות לא מפסיקות להגיע', 'חוק ה לאום משמש ב ה פועל כ חומת מגן חוקתית כדי להפלות ב אופן בוטה בין יהודים ל ה ערבים ו ל התגזען ללא הגבלה', 'צביון יהודי לפי ראש ה עיר ב עפולה הוא לסגור את ה פארק ה ציבורי ב ה עיר ל תושבי ה עיר בלבד', 'כדי למנוע מ ה ערבים ה שכנים להיכנס', 'ל אני זה נשמע הרבה יותר כמו עליונות גזעית', 'ו זה הכי רחוק ש יש מ צביון יהודי', 'כל הבטחות ה ממשלה שחוק ה לאום יהיה הצהרתי בלבד', 'רק כדי לעגן את היותה של מדינת ישראל מדינתו של ה עם ה יהודי מתגלות כש קרים', 'כולנו יודעים ש לא היה שום ספק ב יהדותה של מדינה ישראל לפני ה חוק ה זה', 'ו לא סתם משנים חוק ללא סיבה', 'בטח לא חוק יסוד', 'מטרת ה ממשלה היא מובהקת לתת מעטפת חוקתית ש תאפשר אפלייה ו הפרדה גזעית ב ה חוק', 'כמו זו ש מנסים לעשות ב מועצת ה עיר עפולה', 'ה כתובת היתה על ה קיר ו ה השלכות על חיינו ו עתיד מדינתנו קשות ל ה צביון ה יהודי', 'ל ה מוסר ו ל ה דמוקרטיה ה ישראלית', 'ה כותרת על ה צעדים של עיריית עפולה', 'עלולה להיות כותרת של עוד מקומות רבים ב ה ארץ', 'אם לא נתעורר ו נשנה כ יוון']","[3, 3, 3, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 0, 3, 3, 0, 0, 0]","[-1, -1, -1, 2, 2, 2, 2, -1, -1, -1, 0, 0, -1, 2, -1, -1, 2, 2, 2]"
חמד עמאר,ישראל ביתנו,"21 בנובמבר 2018, 14:38","['לאחר ש חוקק חוק ה לאום', 'ש ב הוא הרגישה ה עדה ה דרוזית פגיעה מאוד קשה', 'ראש ה ממשלה זימן את ה הנהגה ה דרוזית ל משרדו', 'ו התנהל משא ו מתן ב משרד ראש ה ממשלה יותר מ שבוע אחד', 'היו שם חמש פגישות ו אני הייתי נוכח ב כל ה פגישות ו ב סופן סוכם ש יחוקק חוק ש יעגן את מעמדה של ה עדה ה דרוזית ב מדינת ישראל', 'חוק יסוד', 'ו עוד שני חוקים', 'חוק זכויות ו חוק העדפה ל יוצאי צבא', 'הובטח ש בתוך 45 יום מתחילת מושב ה חורף', 'בעוד שבועיים יעברו ה 45 ימים ו אם ה ממשלה לא תעלה ל ה הצבעה ב כנסת חוקים אלה', 'אני מעלה את ה חוקים ש אני עמלתי על הם על מנת לתקן את חוק ה לאום ה פוגעני ה זה']","[3, 3, 2, 2, 3, 3, 0, 0, 0, 0, 3]","[0, -1, 0, 0, 1, 0, 2, 2, 2, 2, -1]"
שלי יחימוביץ,העבודה,"12 בנובמבר 2018, 07:18","['הי זאת של אני', 'שמו כנראה לא יתפרסם לעולם', 'אך אפשר לומר ב כאב עצום כי מותו בקרב של סאל מ מעמיד ב אופן מזוויע עוד יותר את חוק ה לאום ה גזעני ו ה נתעב', 'ה קובע כי אזרחים כמו מ זל', 'ש אינם יהודים', 'הם אזרחים סוג ב', 'ב סביבתו אפילו לא ידעו על פעולותיו ה עלומות ו ה הרואיות ל ה מען ב ה טחון ישראל', 'משתתפת ב אבלה ה כבד של משפחתו', 'ה לב דואב', 'יהי זכרו ב ה רוך']","[0, 0, 3, 3, 3, 3, 0, 0, 0, 0]","[2, 2, -1, -1, 0, -1, 2, 2, 2, 2]"
תמר זנדברג,מרצ,"5 בנובמבר 2018, 17:18","['חוק ה לאום עבר כי נזכרנו מאוחר מדי', 'עכשיו כל ה תרבות ה ישראלית ב ה סכנה', 'אפשר לכתוב כאן מילים כמו חופש ביטוי ו דמוקרטיה', 'ו אפשר להסתכל על ה תרבות ה ישראלית ו להבין כמה עצוב ייראה ה עולם ש ל אנחנו אם מ ירי רגב תביים את הוא', 'ה קריאה ה ראשונה הערב', 'הצטרפו עכשיו ל ה מאבק', 'תעזרו ל אנחנו לעצור את ה חוק ה נורא ה זה']","[3, 3, 3, 3, 3, 3, 3]","[-1, -1, 0, -1, 0, 0, -1]"
איימן עודה,"חד""ש-תע""ל","27 באוקטובר 2018, 11:25","['לפי ה סקר ה אחרון של ערוץ 10', 'ה רשימה ה משותפת תקבל 14 מנדטים', 'כש אני שומע את ה מועמדים ב ה בחירות ה מוניציפאליות מדברים ב ה הערכה על תכנית 922 ו ה מאבק ש לנו ל ה תקציבים מ בחינתי זו גאווה אדירה', 'זה רק אחד מ ה ישיגנו', 'כמה מכשולים עברנו', 'על כמה קשיים ה תגברנו ב אחריות גדולה', 'ו עודנו מתגברים', 'יש ל אנחנו מטרה מרכזית', 'ו היא לחזק את נוכחותנו ה לאומית בפני חוק ה לאום ש קובע כי ה מדינה היא ל ה יהודים בלבד', 'רק עם אחדות ו נחישות נוכל להכתיב מציאות דו לאומית ב כל ה מוסדות', 'מנסים להחליש את אנחנו', 'אבל אנו מוכיחים את כוחנו ו את נוכחותנו']","[0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0]","[2, 2, 2, 2, 2, 2, 2, 2, -1, 0, 2, 2]"
איימן עודה,"חד""ש-תע""ל","22 באוקטובר 2018, 09:31","['את ה בוקר הקדשתי כדי להיפגש עם תלמידי תיכון פורדיס', 'ואחריהם עם מאות סטודנטים ש לנו ב ה אוניברסיטה ה ערבית אמריקאית ב גנין', 'אין מספק ו משמח יותר עבור אנחנו ב ה רשימה ה משותפת מ מפגש עם בני נוער', 'מ שיחה פתוחה על ה סוגיות ה פוליטיות ש מעניינות את הם', 'ו ב ה ראשן חוק ה לאום ו סכנותיו', 'ש מורגש יותר מ כל', 'אנו מלאי אנרגיה ו מרץ לבקר ב כל בתי ה ספר ו לפגוש את ה דור ה צעיר', 'אפשר לתאם את אנחנו מפגשים נוספים ו נחזור ב ה הקדם', 'העלאת ה מודעות בקרב ציבור ה צעירים היא עבור אנחנו משימה לאומית מ ה מעלה ה ראשונה']","[0, 0, 0, 0, 3, 3, 0, 0, 0]","[2, 2, 2, 2, -1, 0, 2, 2, 2]"
חמד עמאר,ישראל ביתנו,"16 באוקטובר 2018, 13:29","['אחיי ו אחיותיי', 'ה יום ב מסגרת ניאומי הדקה ב ה כנסת העליתי שוב ו ב המשך ל פגישתי מ אתמול עם ה יועצים ה משפטיים של ראש ה ממשלה את קידום ה פתרון ה רצוי ל תיקון ה עוול ש עשה חוק ה לאום ל ה עדה ה דרוזית ב ה ישראל', 'סגן יור הכנסת חכ חמד עמאר']","[0, 3, 0]","[2, -1, 2]"
חמד עמאר,ישראל ביתנו,"15 באוקטובר 2018, 13:46","['אחיי ו אחותייהיום נפתח מושב ה חורף של הכנסת', 'ב ה מושב ה זה אמשיך לעסוק ב מגוון רחב של עשייה ציבורית למען ה כלל ו למען ה עדה ה דרוזית ב ה פרט', 'ב ראש מעיניי יהיה ה עשייה ה מתמדת ל תיקון ה עיוות ש יצר חוק ה לאום', 'היום נכחתי ב ה הפגנה ש נערכה מול משכן הכנסת ולאחריה קיימתי פגישת עבודה ב משרדי עם יועצי ראש ה ממשלה ל בחינת הצעות ל תיקון חוק ה לאום', 'סגן יור הכנסת חכ חמד עמאר']","[0, 0, 3, 3, 0]","[2, 2, -1, -1, 2]"
איימן עודה,"חד""ש-תע""ל","14 בספטמבר 2018, 17:00","['זה ה זמן להיפגש', 'אתמול ו היום קיימתי שתי פגישות עם קהל ב נושא חוק ה לאום ו ה אתגרים ש עומדים בפני אנחנו', 'ב יום ראשון אמשיך אל מגד אלכרום', 'אני פונה ב שם כל חברי ה משותפת אל ה קהל ה רחב', 'הזמינו את אנחנו ל כל מקום', 'לא משנה כמות ה קהל', 'הכי חשוב ל אנחנו כעת זה לפגוש את אתם', 'בשביל ל ה דבר', 'לשמוע ו גם ללמוד']","[0, 3, 0, 0, 0, 0, 0, 0, 0]","[2, -1, 2, 2, 2, 2, 2, 2, 2]"
יולי - יואל אדלשטיין,הליכוד,"6 בספטמבר 2018, 15:00","['הנה מסתיימת ל היא עוד שנה', 'ו איזו שנה', 'חוקקנו את חוק ה לאום ו עוד עשרות חוקים ש יעשו שינוי משמעותי ב ה חברה ב ה כלכלה ו ב ה ביטחון', 'עשרות מנהיגים ו משלחות מרחבי ה עולם הגיעו כדי להדק את ה קשרים עם הכנסת', 'הכנסת מצליחה אזרחי ישראל מצליחים', 'אנו ממשיכים לשמור על מעמד הכנסת', 'לחזק את חברי ה כנסת ו לתת ל הם כלים נוספים', 'על מנת ש ב ה שנה ה באה עלינו ל ה טובה ה חיים של אזרחי ישראל יהיו עוד יותר טובים', 'שנה מתוקה']","[0, 0, 3, 0, 0, 0, 0, 0, 0]","[2, 2, 1, 2, 2, 2, 2, 2, 2]"
איימן עודה,"חד""ש-תע""ל","4 בספטמבר 2018, 13:05","['אני מעריך את ה עובדה ש שרת ה חוץ של ה איחוד ה אירופי פדריקה מוגריני הסכימה להיפגש עמנו על אף ה לחצים ה אדירים ש הופעלו ל ה ביטול הפגישה', 'ה נושא ה מרכזי על הוא שוחחנו הוא חוק ה לאום', 'הייתה פגישה חשובה', 'ו סיכמנו לקיים מעקב אחר ה נושאים', 'ה מאבק של אנחנו נגד ה חוק מתנהל ב ה ראש ו ב ה ראשונה ב ה ישראל', 'יחד עם זאת', 'ל שותפינו ב ה זירה ה בינלאומית יש תרומה חשובה ב תמיכתם ב מאבקנו נגד חוק ה לאום ש חוקק על ידי ממשלת ה ימין ה קיצונית ו ה גזענית', 'מ כאן', 'אנו ממשיכים ב כוח ל ביטול חוק ה לאום', 'ב ה דרך לקבל את מלוא זכויותינו', 'דרושה סבלנות רבה', 'ו אנו מלאי מרץ ו שכנוע ו נחישות להמשיך']","[0, 3, 0, 0, 3, 0, 3, 0, 3, 0, 0, 0]","[2, 0, 2, 2, -1, 2, -1, 2, -1, 2, 2, 2]"
איימן עודה,"חד""ש-תע""ל","3 בספטמבר 2018, 01:56","['ב ה דרך ל ה איחוד ה אירופי ב ה בריסל', 'ה רשימה ה משותפת עושה צעד בינלאומי חסר תקדים', 'עוד נאבק ב כל ה חזיתות', 'ו זו רק ה התחלה', 'כמו ש ה ראשונים התגברו על ה ממשל ה צבאי', 'אנחנו גם נתגבר על חוק ה לאום']","[0, 0, 0, 0, 0, 3]","[2, 2, 2, 2, 2, -1]"
איימן עודה,"חד""ש-תע""ל","2 בספטמבר 2018, 17:15","['עברית 13', 'צפו ב ה ראיון ב ה ערוץ 13', 'ה סיבה ש אנחנו קוראים ל חוק ה לאום חוק אפרטהייד הוא ש ה אפרטהייד משלב בין ה פרדה לבין עליונות אתנית', 'חוק ה לאום קורא ל התיישבות יהודית ב ה לבד ו מתייחס ל מדינה כ מדינתו של עם אחד', 'זו ה סיבה ש בגלל היא אנחנו פונים לעולם', 'ה כעס צריך להיות מופנה אל מחוקקי חוק ה לאום', 'לא על ה פעילות ש ל אנחנו לבטלו']","[0, 0, 3, 3, 3, 3, 3]","[2, 2, -1, -1, 0, -1, -1]"
גדעון סער,הליכוד,"19 ביולי 2018, 07:29","['חוק ה לאום הוא ה חוק ה חשוב ביותר ש חוקקה הכנסת ה 20', 'ה ראיון ה מלא של אני ה בוקר ב ה רשת', 'מוזמנים לצפות']","[3, 0, 0]","[1, 2, 2]"
עליזה לביא,כחול לבן,"19 ביולי 2018, 03:30","['חוק ה לאום יכול ו צריך היה לעבור היום ב ה תמיכה של 100 חברי כנסת', 'רגע מ כונן של קונצנזוס', 'ש ב הוא חברי כ נסת מ סיעות שונות מתאחדים להצביע על רעיון פשוט ו מוסכם', 'מדינת ישראל היא ביתו ה לאומי של ה עם ה יהודי', 'ש מבטיחה שוויון זכויות ל כל אזרחיה', 'אבל אם הייתה ה סכמה לא היה חוק', 'זה לא מה ש ראש ה ממשלה חיפש', 'הוא רצה ריב', 'הוא רצה מחלוקת מדומיינת ש תצייר תמונה מעוותת של אנחנו ו הם', 'ה פטריוטים נגד שאר ה עולם', 'זה מה ש משרת את הוא פוליטית', 'ו זו ה סיבה ה יחידה ש באמצעות שליחיו הביא חוק ב ה נוסח ש לא בגין ו לא זבוטינסקי היו מצביעים בעד הוא']","[3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 3]","[1, 1, 1, 1, 0, 0, 0, -1, -1, 0, -1, -1]"
יריב לוין,הליכוד,"19 ביולי 2018, 00:16","['עשינו היסטוריה', 'אישרנו את חוק ה לאום ו הבהרנו ב אופן ברור מדינת ישראל היא מדינת ה לאום של ה עם ה יהודי', 'זהו יום היסטורי ו מכונן ב הוא אנו מוסיפים חוליה נוספת ב ה שרשרת ה מפוארת את היא החלו אבות ה ציונות', 'חוק ה לאום מחזק את ה זהות ו ה מורשת ה יהודית ו את כל ה ערכים ב זכותם ישראל קיימת', 'הוא מ ה חוקים ה חשובים ביותר ב ה הם עסקה הכנסת אי פעם ו צירופו הלילה לספר ה חוקים הוא הישג אדיר', 'ה חוק מבטא את ה יסודות ה עמוקים ביותר של ה ציונות ו את ה בסיס על הוא נבנתה מדינת ישראל', 'הוא אומר את ה מובן מ אל הוא', 'מדינת ישראל היא מדינת ה לאום של ה עם ה יהודי', 'אני שמח ש נפלה ב חלקי ה זכות להוביל את ה חוק יחד עם חברי חכ אבי דיכטר ו מברך על אישורו']","[3, 3, 3, 3, 3, 3, 3, 0, 3]","[1, 1, 1, 1, 1, 1, 0, 2, 1]"
שלי יחימוביץ,העבודה,"16 ביולי 2018, 14:25","['הי זאת של אני', 'אתם יודעים מה ה הבדל בין לאומיות ל ה לאומנות', 'לאומיות היא אהבת ה ארץ', 'אהבת ה מולדת', 'אהבת אנשיה', 'ל ה אומנות היא על שנאה', 'שנאת ה אחר', 'ו ה חוק ה זה הוא לא חוק ה לאום', 'זה חוק ה לאומנות', 'צפו ב ה נאום ה מלא של אני כעת ב ה מליאה']","[0, 0, 0, 0, 0, 0, 0, 3, 3, 0]","[2, 2, 2, 2, 2, 2, 2, 0, -1, 2]"
איימן עודה,"חד""ש-תע""ל","14 ביולי 2018, 20:28","['אלפי מפגינים ב ה תא', 'ערבים ו יהודים', 'נגד חוק ה לאום', 'גם אלף חוקי לאום לא ישנו את ה עובדה ש אנחנו בני ה ארץ ה זו ו אין ל אנחנו ארץ אחרת מ לבד היא']","[0, 0, 3, 3]","[2, 2, -1, -1]"
אילן גילאון,מרצ,"14 ביולי 2018, 18:19","['שתי הפגנות ש הם הפגנה אחת', 'נגד שני חוקים פסולים ש מטרתם אחת', 'חוק ה לאום ו חוק ה פונדקאות הם סכנה ל ה מדינה', 'דמותה ה דמוקרטית של מדינת ישראל נמצאת ב ימים אלה תחת התקפה', 'ה קואליציה ב ראשות נתניהו רוצה לפגוע ב יסודות ה ציונות על הם הוקמה ה מדינה']","[0, 3, 3, 3, 2]","[2, -1, -1, -1, -1]"
תמר זנדברג,מרצ,"14 ביולי 2018, 12:12","['לילה ו יום קשים ב ה עוטף עזה', 'ל ה פני ה כל', 'שולחת חיבוקים ל ה חברים ו ל ה תושבים ש לילם שובש ו ב שעות ה אחרונות רצים ל ה מקלטים', 'ה יממה ה זאת ממחישה את חוסר ה תוחלת ב מה ש אנחנו עושים כבר שבועות', 'חודשים ו שנים', 'סבבים חוזרים ו נשנים ירי', 'עפיפונים ב ה מציאות של סגר ו משבר הומניטרי ב ה עזה', 'לא רק ש זה לא מייצר פיתרון', 'זה מקרב את אנחנו כל פעם קצת ל ה מלחמה ה באה', 'כמו ש רואים ממש היום', 'עוד לא מאוחר למנוע את זה', 'צריך רק לרצות', 'צריך רק לבחור ב דרך אחרת', 'הפסקת אש', 'מתווה ל הקלות הומניטריות ו שיקום ה רצועה במקום סגירת מעברים ו הכבדת ה סגר', 'ופיתרון מדיני ארוך טווח', 'אבל ב ה מקום להפוך כל אבן', 'לשבת על ה מדוכה עד ש יימצא הפיתרון ש אינו צבאי', 'ה ממשלה עסוקה ב חקיקת חוקים גזעניים', 'ה ערב ב 20', '00 נפגין נגד חוק ה לאום ו מדיניות ה ממשלה ב תל אביב', 'פרטים ב ה תגובה ה ראשונה', 'ב ואו ו שתפו']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, -1, 2, -1, 2, 2]"
מרב מיכאלי,העבודה,"12 ביולי 2018, 17:43","['בטח שמעתןם ב ה תקשורת על חוק ה לאום', 'כמה הוא גזעני ו כמה הוא מפלה ערבים', 'זה נכון', 'אבל הכי קל לדבר על ערבים ו אז ביבי יוצא מלך', 'כי הוא נגד ערבים ו ה שמאל', 'בוגד כי הוא מגן על ערבים', 'אז זהו', 'ש זה ממש לא רק על ערבים', 'תנו ל אני ל ה ספר ל כןם משהו ש לא ידעתןם על חוק ה לאום']","[3, 3, 3, 2, 2, 2, 0, 0, 3]","[0, -1, -1, 0, -1, 0, 2, 2, 0]"
